file_path,import_count,imports,top_level_modules
.venv/lib/python3.11/site-packages/PIL/TgaImagePlugin.py,7,from __future__ import; import warnings; from typing import; from . import; from ._binary import; from ._binary import; from ._binary import,; __future__; typing; warnings
.venv/lib/python3.11/site-packages/PIL/TiffImagePlugin.py,20,from __future__ import; import io; import itertools; import logging; import math; import os; import struct; import warnings; from collections.abc import; from fractions import; from numbers import; from typing import; from . import; from ._binary import; from ._binary import; from ._binary import; from ._deprecate import; from .TiffTags import; from .TiffTags import; from .TiffTags import,; __future__; collections; fractions; io; itertools; logging; math; numbers; os; struct; typing; warnings
.venv/lib/python3.11/site-packages/PIL/TiffTags.py,2,from __future__ import; from typing import,__future__; typing
.venv/lib/python3.11/site-packages/PIL/WalImageFile.py,3,from __future__ import; from . import; from ._binary import,; __future__
.venv/lib/python3.11/site-packages/PIL/WebPImagePlugin.py,5,from __future__ import; from io import; from typing import; from . import; from . import,; __future__; io; typing
.venv/lib/python3.11/site-packages/PIL/WmfImagePlugin.py,6,from __future__ import; from typing import; from . import; from ._binary import; from ._binary import; from ._binary import,; __future__; typing
.venv/lib/python3.11/site-packages/PIL/XVThumbImagePlugin.py,3,from __future__ import; from . import; from ._binary import,; __future__
.venv/lib/python3.11/site-packages/PIL/XbmImagePlugin.py,4,from __future__ import; import re; from typing import; from . import,; __future__; re; typing
.venv/lib/python3.11/site-packages/PIL/XpmImagePlugin.py,4,from __future__ import; import re; from . import; from ._binary import,; __future__; re
.venv/lib/python3.11/site-packages/PIL/__init__.py,2,from __future__ import; from . import,; __future__
.venv/lib/python3.11/site-packages/PIL/__main__.py,3,from __future__ import; import sys; from .features import,; __future__; sys
.venv/lib/python3.11/site-packages/PIL/_binary.py,2,from __future__ import; from struct import,__future__; struct
.venv/lib/python3.11/site-packages/PIL/_deprecate.py,3,from __future__ import; import warnings; from . import,; __future__; warnings
.venv/lib/python3.11/site-packages/PIL/_tkinter_finder.py,3,from __future__ import; import sys; import tkinter,__future__; sys; tkinter
.venv/lib/python3.11/site-packages/PIL/_typing.py,7,from __future__ import; import os; import sys; from typing import; import numpy.typing; from typing import; from typing_extensions import,__future__; numpy; os; sys; typing; typing_extensions
.venv/lib/python3.11/site-packages/PIL/_util.py,4,from __future__ import; import os; from typing import; from ._typing import,; __future__; os; typing
.venv/lib/python3.11/site-packages/PIL/_version.py,1,from __future__ import,__future__
.venv/lib/python3.11/site-packages/PIL/features.py,8,from __future__ import; import collections; import os; import sys; import warnings; from typing import; import PIL; from . import,; PIL; __future__; collections; os; sys; typing; warnings
.venv/lib/python3.11/site-packages/PIL/report.py,2,from __future__ import; from .features import,; __future__
.venv/lib/python3.11/site-packages/PyPDF2/__init__.py,9,import warnings; from ._encryption import; from ._merger import; from ._page import; from ._reader import; from ._version import; from ._writer import; from .pagerange import; from .papersizes import,; warnings
.venv/lib/python3.11/site-packages/PyPDF2/_cmap.py,8,import warnings; from binascii import; from math import; from typing import; from ._codecs import; from ._utils import; from .errors import; from .generic import,; binascii; math; typing; warnings
.venv/lib/python3.11/site-packages/PyPDF2/_codecs/__init__.py,6,from typing import; from .adobe_glyphs import; from .pdfdoc import; from .std import; from .symbol import; from .zapfding import,; typing
.venv/lib/python3.11/site-packages/PyPDF2/_codecs/adobe_glyphs.py,0,,
.venv/lib/python3.11/site-packages/PyPDF2/_codecs/pdfdoc.py,0,,
.venv/lib/python3.11/site-packages/PyPDF2/_codecs/std.py,0,,
.venv/lib/python3.11/site-packages/PyPDF2/_codecs/symbol.py,0,,
.venv/lib/python3.11/site-packages/PyPDF2/_codecs/zapfding.py,0,,
.venv/lib/python3.11/site-packages/PyPDF2/_encryption.py,10,import hashlib; import random; import struct; from enum import; from typing import; from ._utils import; from .errors import; from .generic import; from Crypto.Cipher import; from Crypto.Util.Padding import,; Crypto; enum; hashlib; random; struct; typing
.venv/lib/python3.11/site-packages/PyPDF2/_merger.py,16,import warnings; from io import; from pathlib import; from types import; from typing import; from ._encryption import; from ._page import; from ._reader import; from ._utils import; from ._writer import; from .constants import; from .constants import; from .constants import; from .generic import; from .pagerange import; from .types import,; io; pathlib; types; typing; warnings
.venv/lib/python3.11/site-packages/PyPDF2/_page.py,15,import math; import uuid; import warnings; from decimal import; from typing import; from ._cmap import; from ._protocols import; from ._utils import; from .constants import; from .constants import; from .constants import; from .constants import; from .errors import; from .filters import; from .generic import,; decimal; math; typing; uuid; warnings
.venv/lib/python3.11/site-packages/PyPDF2/_protocols.py,5,from pathlib import; from typing import; from typing import; from typing_extensions import; from ._utils import,; pathlib; typing; typing_extensions
